partition_date,id,vehicleid,coordinate_latitude,coordinate_longitude,timestamp,heading,ignitionState,odometer,speed,vext,event_description,linear_g,lateral_g,terminal_id,recieved_ts,road_speed,gps_fix_type,gps_accuracy,vgsm,x_accel,y_accel,z_accel,altitude,SP_CODE,SP_NAME,MP_NAME,MN_NAME,DC_NAME,PR_NAME,created_ts,country_name
2022-02-18,155517428,155517428,-34.010228,18.593278,2022-02-18 11:05:18,215,ON,101057392.0,0,12.12,Ign ON,0.0,0.0,150591890,2022-02-18 11:20:40,60.0,3,0,3.86,-0.09,-0.02,-0.02,57.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.010213,18.593246,2022-02-18 11:05:24,0,ON,101057392.0,0,12.12,GPS_Lost,0.0,0.0,150591890,2022-02-18 13:20:40,60.0,2,0,3.88,-0.09,,,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.010203,18.593296,2022-02-18 11:05:35,0,ON,101057392.0,0,14.16,ER_ON,0.0,0.0,150591890,2022-02-18 11:20:40,60.0,2,0,3.93,-0.09,-0.02,,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.010217,18.593235,2022-02-18 11:05:36,152,ON,101057392.0,0,14.52,GPS_Lock,0.0,0.0,150591890,2022-02-18 11:20:40,60.0,3,0,3.93,-0.09,-0.04,-0.02,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.010193,18.593288,2022-02-18 11:05:37,235,ON,101057392.0,0,14.52,Idle Start,0.0,0.0,150591890,2022-02-18 11:20:41,60.0,3,0,4.16,-0.11,-0.02,-0.04,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.010192,18.593286,2022-02-18 11:08:37,1,ON,101057392.0,0,14.16,Idle Per,0.0,0.0,150591890,2022-02-18 11:20:41,60.0,3,0,4.41,-0.11,-0.02,,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.01016,18.593258,2022-02-18 11:11:37,64,ON,101057392.0,0,13.8,Idle Per,0.0,0.0,150591890,2022-02-18 11:20:41,60.0,3,0,4.43,-0.09,-0.02,,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.01016,18.593258,2022-02-18 11:14:12,139,ON,101057392.0,0,13.44,Idle End,0.0,0.0,150591890,2022-02-18 13:20:41,60.0,3,0,4.43,-0.11,,-0.02,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-18,155517428,155517428,-34.01016,18.593258,2022-02-18 11:14:13,139,OFF,101057392.0,0,13.44,Ign OFF,0.0,0.0,150591890,2022-02-18 13:20:41,60.0,3,0,4.43,-0.11,,-0.02,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 11:20:57.120319,South Africa
2022-02-23,155517428,155517428,-34.010195,18.593306,2022-02-23 21:50:20,0,OFF,101057392.0,0,9.84,Power OFF,0.0,0.0,150591890,2022-02-23 23:50:41,60.0,2,0,4.58,-0.09,,,56.0,199036002.0,Browns Farms,Philippi,City of Cape Town,City of Cape Town,Western Cape,2022-02-23 21:50:53.824279,South Africa
