partition_date,id,vehicleid,coordinate_latitude,coordinate_longitude,timestamp,heading,ignitionState,odometer,speed,vext,event_description,linear_g,lateral_g,terminal_id,recieved_ts,road_speed,gps_fix_type,gps_accuracy,vgsm,x_accel,y_accel,z_accel,altitude,SP_CODE,SP_NAME,MP_NAME,MN_NAME,DC_NAME,PR_NAME,created_ts,country_name
2022-02-18,129073905,129073905,-33.992454,18.668561,2022-02-18 13:57:59,162,OFF,,0,2.28,Power OFF,0.0,0.0,128013737,2022-02-18 13:58:22,60.0,3,0,4.03,-0.07,0.02,-0.02,36.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-02-18 13:58:26.261161,South Africa
2022-03-17,129073905,129073905,-33.990715,18.675051,2022-03-17 13:44:33,65,ON,4344.0,16,10.2,Ign ON,0.0,0.0,128013737,2022-03-17 15:45:25,60.0,3,0,3.17,-0.11,,,34.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:45:28.709279,South Africa
2022-03-17,129073905,129073905,-33.990715,18.675051,2022-03-17 13:44:33,65,ON,4344.0,16,10.2,MotionStart,0.0,0.0,128013737,2022-03-17 15:45:26,60.0,3,0,3.17,-0.11,,,34.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:45:53.509505,South Africa
2022-03-17,129073905,129073905,-33.990682,18.675143,2022-03-17 13:44:35,65,ON,4353.0,16,10.2,dHDG,0.0,0.0,128013737,2022-03-17 15:45:26,60.0,3,0,3.17,-0.09,0.02,,34.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:45:53.509505,South Africa
2022-03-17,129073905,129073905,-33.99048,18.675643,2022-03-17 13:44:45,64,ON,4353.0,0,9.84,MotionEnd,0.0,0.0,128013737,2022-03-17 15:46:19,60.0,3,0,3.34,-0.09,0.02,,35.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:46:42.378831,South Africa
2022-03-17,129073905,129073905,-33.990305,18.676083,2022-03-17 13:44:55,63,ON,4353.0,16,9.48,GPS_Lock,0.0,0.0,128013737,2022-03-17 15:45:26,60.0,3,0,3.44,-0.09,,,36.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:45:53.509505,South Africa
2022-03-17,129073905,129073905,-33.990085,18.67662,2022-03-17 13:45:59,353,OFF,4353.0,0,10.8,Ign OFF,0.0,0.0,128013737,2022-03-17 15:46:19,60.0,3,0,3.69,-0.09,0.02,,36.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:46:42.378831,South Africa
2022-03-17,129073905,129073905,-33.990085,18.676628,2022-03-17 13:46:51,252,OFF,4353.0,0,1.56,Power OFF,0.0,0.0,128013737,2022-03-17 15:47:12,60.0,3,0,3.44,-0.09,0.02,-0.02,36.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-17 13:47:31.368555,South Africa
2022-03-24,129073905,129073905,-33.998639,18.67336,2022-03-24 17:04:31,317,ON,,27,13.8,Ign ON,0.0,0.0,128013737,2022-03-24 17:05:21,60.0,3,0,3.49,-0.09,,,28.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-24 17:06:07.850758,South Africa
2022-03-24,129073905,129073905,-33.996879,18.670083,2022-03-24 17:06:22,347,ON,,19,13.8,dHDG,0.11,0.0,128013737,2022-03-24 17:06:40,60.0,3,0,3.88,-0.09,0.02,0.02,27.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-24 17:07:02.558932,South Africa
2022-03-24,129073905,129073905,-33.991309,18.668543,2022-03-24 17:09:22,337,ON,,0,13.8,PER,0.0,0.0,128013737,2022-03-24 17:09:49,60.0,3,0,4.08,-0.09,,,26.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-24 17:10:22.207261,South Africa
2022-03-24,129073905,129073905,-33.990954,18.668775,2022-03-24 17:09:52,23,ON,1145.0,29,13.8,dHDG,0.03,0.02,128013737,2022-03-24 17:10:54,60.0,3,0,4.11,-0.07,0.02,,26.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-24 17:11:19.579279,South Africa
2022-03-24,129073905,129073905,-33.988972,18.669856,2022-03-24 17:10:34,353,ON,1387.0,16,11.16,dHDG,0.03,0.09,128013737,2022-03-24 17:11:06,60.0,3,0,3.96,-0.09,-0.02,0.02,27.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-03-24 17:11:19.579279,South Africa
2022-04-01,129073905,129073905,-34.003107,18.680436,2022-04-01 17:36:19,156,ON,3051.0,0,11.16,MotionEnd,0.0,0.0,128013737,2022-04-01 19:44:22,35.0,3,0,4.24,-0.09,,0.02,29.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-04-01 17:44:48.939886,South Africa
2022-04-01,129073905,129073905,-34.00386,18.678731,2022-04-01 17:39:12,237,ON,3051.0,5,11.16,PER,0.0,0.0,128013737,2022-04-01 19:44:22,60.0,3,0,4.26,-0.09,,,31.0,199042001.0,Mfuleni SP,Mfuleni,City of Cape Town,City of Cape Town,Western Cape,2022-04-01 17:44:48.939886,South Africa
