partition_date,id,vehicleid,coordinate_latitude,coordinate_longitude,timestamp,heading,ignitionState,odometer,speed,vext,event_description,linear_g,lateral_g,terminal_id,recieved_ts,road_speed,gps_fix_type,gps_accuracy,vgsm,x_accel,y_accel,z_accel,altitude,SP_CODE,SP_NAME,MP_NAME,MN_NAME,DC_NAME,PR_NAME,created_ts,country_name
2022-03-31,251871348,251871348,-34.037831,18.668167,2022-03-31 19:54:12,0,ON,116123.0,0,13.08,Ign ON,0.0,0.0,250098037,2022-03-31 21:54:26,60.0,2,0,4.27,,,-0.09,27.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:54:49.575151,South Africa
2022-03-31,251871348,251871348,-34.037841,18.668204,2022-03-31 19:54:19,0,ON,116138.0,0,14.16,GPS_Lock,0.0,0.0,250098037,2022-03-31 21:54:39,60.0,3,0,4.27,0.02,,-0.09,26.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:54:49.575151,South Africa
2022-03-31,251871348,251871348,-34.037836,18.668178,2022-03-31 19:54:22,0,ON,116138.0,0,14.16,ER_ON,0.0,0.0,250098037,2022-03-31 21:54:39,60.0,3,0,4.27,,,-0.09,27.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:54:49.575151,South Africa
2022-03-31,251871348,251871348,-34.037895,18.668408,2022-03-31 19:54:52,128,ON,116160.0,10,14.4,MotionStart,0.0,0.0,250098037,2022-03-31 21:55:12,60.0,3,0,4.27,,,-0.09,26.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:55:36.153855,South Africa
2022-03-31,251871348,251871348,-34.037944,18.668488,2022-03-31 19:54:54,123,ON,116169.0,13,14.4,dHDG,0.03,0.02,250098037,2022-03-31 21:55:12,60.0,3,0,4.27,0.02,,-0.11,26.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:55:36.153855,South Africa
2022-03-31,251871348,251871348,-34.038291,18.669126,2022-03-31 19:55:04,115,ON,116240.0,23,14.16,dHDG,-0.03,0.06,250098037,2022-03-31 21:55:24,60.0,3,0,4.27,0.02,,-0.09,24.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:55:36.153855,South Africa
2022-03-31,251871348,251871348,-34.037973,18.669591,2022-03-31 19:55:14,29,ON,116295.0,24,14.16,dHDG,-0.03,0.01,250098037,2022-03-31 21:55:34,60.0,3,0,4.27,0.02,-0.02,-0.09,24.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:55:59.050896,South Africa
2022-03-31,251871348,251871348,-34.037824,18.669715,2022-03-31 19:55:28,54,ON,116315.0,5,14.16,dHDG,0.0,0.0,250098037,2022-03-31 21:55:49,60.0,3,0,4.3,,,-0.09,25.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:55:59.050896,South Africa
2022-03-31,251871348,251871348,-34.03808,18.670432,2022-03-31 19:55:38,123,ON,116387.0,39,14.16,dHDG,0.09,0.02,250098037,2022-03-31 21:55:58,60.0,3,0,4.3,0.02,,-0.09,24.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:56:20.744918,South Africa
2022-03-31,251871348,251871348,-34.03841,18.671122,2022-03-31 19:55:48,71,ON,116460.0,20,14.16,dHDG,0.0,0.04,250098037,2022-03-31 21:56:08,60.0,3,0,4.3,,,-0.09,24.0,199043012.0,Village V2 North,Khayelitsha,City of Cape Town,City of Cape Town,Western Cape,2022-03-31 19:56:20.744918,South Africa
