partition_date,id,vehicleid,coordinate_latitude,coordinate_longitude,timestamp,heading,ignitionState,odometer,speed,vext,event_description,linear_g,lateral_g,terminal_id,recieved_ts,road_speed,gps_fix_type,gps_accuracy,vgsm,x_accel,y_accel,z_accel,altitude,SP_CODE,SP_NAME,MP_NAME,MN_NAME,DC_NAME,PR_NAME,created_ts,country_name
2022-01-01,219532871,219532871,-34.532351,20.060812,2022-01-01 07:02:19,0,ON,360609493.0,0,9.6,Ign ON,0.0,0.0,200725964,2022-01-01 07:02:40,60.0,2,0,4.07,,,0.11,32.0,173003004.0,Selfbou,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:02:57.448980,South Africa
2022-01-01,219532871,219532871,-34.532351,20.060812,2022-01-01 07:02:25,0,ON,360609493.0,0,13.8,ER_ON,0.0,0.0,200725964,2022-01-01 07:02:46,60.0,2,0,4.07,,,0.09,32.0,173003004.0,Selfbou,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:02:57.448980,South Africa
2022-01-01,219532871,219532871,-34.532351,20.060812,2022-01-01 07:07:27,0,OFF,360609493.0,0,13.44,Ign OFF,0.0,0.0,200725964,2022-01-01 07:07:48,60.0,2,0,4.07,-0.02,,0.09,32.0,173003004.0,Selfbou,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:08:07.033619,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:20:40,0,ON,360609493.0,0,11.64,Ign ON,0.0,0.0,200725964,2022-01-01 07:21:00,60.0,2,0,4.07,-0.02,,0.09,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:21:13.300857,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:20:48,0,ON,360609493.0,0,13.44,ER_ON,0.0,0.0,200725964,2022-01-01 09:21:09,60.0,2,0,4.07,-0.02,,0.09,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:21:32.190706,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:26:49,0,OFF,360609493.0,0,13.44,Ign OFF,0.0,0.0,200725964,2022-01-01 07:27:10,60.0,2,0,4.07,-0.02,,0.09,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:27:28.331221,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:30:06,0,ON,360609493.0,0,12.72,Ign ON,0.0,0.0,200725964,2022-01-01 07:30:27,60.0,2,0,4.07,,,0.09,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:30:44.274936,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:30:22,0,ON,360609493.0,0,13.8,ER_ON,0.0,0.0,200725964,2022-01-01 07:30:43,60.0,2,0,4.07,,,0.09,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:31:03.019808,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:34:33,0,OFF,360609493.0,0,13.44,Ign OFF,0.0,0.0,200725964,2022-01-01 09:34:54,60.0,2,0,4.07,,,0.09,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:35:06.654319,South Africa
2022-01-01,219532871,219532871,-34.531278,20.062523,2022-01-01 07:37:47,0,ON,360609493.0,0,10.32,Ign ON,0.0,0.0,200725964,2022-01-01 07:38:02,60.0,2,0,4.07,-0.02,,0.11,65.0,173003002.0,Kleinbegin,Bredasdorp,Cape Agulhas,Overberg,Western Cape,2022-01-01 07:38:06.336295,South Africa
